dataset	column	dtype	description	n_unique_values	n_empty_values	bids_levels	bids_units	is_categorical	min	max	standardized_var	assessment_term	age_format
ds004186	participant_id	string	Unique participant identifier	2951	0			False					
ds004186	release	Float64	Release number in which subjects' data was published	10	0			False	1.1	10.0			
ds004186	gender	Int64	Sex of the participant	2	0	M, F		True	0	1			
ds004186	age	Float64	age of the participant	2763	0		years	False	5.005932	21.899041			
ds004186	handedness	Float64	Subject's handedness. +100=Fully Right-handed, -100=Fully Left-handed	289	43			False	-100.05	100.05			
ds004186	commercial_use	string	Did the participant consent to commercial use of data?	2	0	Yes, No		True					
ds004186	full_pheno	string	Does the participant have a full phenotypic file?	2	0	Yes, No		True					
ds005752	participant_id	string	OpenNeuro ID of the subject.	1859	0			False					
ds005752	release_1	Int64	Presence of participant data in release 1 of the dataset.	2	0	0, 1		True	0	1			
ds005752	release_2	Int64	Presence of participant data in release 2 of the dataset.	2	0	0, 1		True	0	1			
ds005752	age	string	Participant's age at first/baseline online screening visit in years. n/a means there was no response from participant though a response was possible. Question may have been skipped over by participant.	70	30		Years	False					
ds005752	sex	string	Biological sex assigned at birth.	2	12	male, female, n/a		True					
ds005752	handedness	string	Handedness is decided based on Laterality Quotient ranges from the Edinburgh Handedness Inventory.  See Levels below for exact ranges.	3	27	left, ambidextrous, right, n/a		True					
ds005752	eligibility	Int64	Eligibility for the study.	2	0	0, 1		True	0	1			
ds005752	MRI	Int64	Presence of Magnetic Resonance Imaging (MRI) data in data set.	2	0	0, 1		True	0	1			
ds005752	MEG	Int64	Presence of Magnetoencephalography (MEG) data in data set.	2	0	0, 1		True	0	1			
ds005752	ace	Int64	Presence of Adverse Childhood Experiences (ACEs) data in data set.	2	0	0, 1		True	0	1			
ds005752	acute_care	Int64	Presence of Acute Care Panel data in data set.	2	0	0, 1		True	0	1			
ds005752	audit	Int64	Presence of Alcohol Use Disorders Identification Test (AUDIT) data in data set.	2	0	0, 1		True	0	1			
ds005752	bai	Int64	Presence of Beck Anxiety Inventory (BAI) data in data set.	2	0	0, 1		True	0	1			
ds005752	bdi	Int64	Presence of Beck Depression Inventory-II (BDI-II) data in dataset.	2	0	0, 1		True	0	1			
ds005752	big_five_personality	Int64	Presence of Big Five Personality Survey data in dataset.	2	0	0, 1		True	0	1			
ds005752	blood_chemistry	Int64	Presence of Blood Chemistry data in dataset.	2	0	0, 1		True	0	1			
ds005752	btq	Int64	Presence of Brief Trauma Questionnaire (BTQ) data in dataset.	2	0	0, 1		True	0	1			
ds005752	cbc_with_differential	Int64	Presence of Complete Blood Count with Differential data in data set.	2	0	0, 1		True	0	1			
ds005752	clinical_variable_form	Int64	Presence of Clinical Variable Form data in data set.	2	0	0, 1		True	0	1			
ds005752	demographics	Int64	Presence of Demographics data in data set.	2	0	0, 1		True	0	1			
