dataset	column	dtype	description	n_unique_values	n_empty_values	bids_levels	bids_units	is_categorical	min	max	standardized_var	assessment_term	age_format
ds004186	participant_id	str	Unique participant identifier	2951	0			False			nb:ParticipantID		
ds004186	release	float64	Release number in which subjects' data was published	10	0			False	1.1	10.0			
ds004186	gender	int64	Sex of the participant	2	0	M, F		True	0.0	1.0	nb:Sex		
ds004186	age	float64	age of the participant	2763	0		years	False	5.005932	21.899041	nb:Age		nb:FromFloat
ds004186	handedness	float64	Subject's handedness. +100=Fully Right-handed, -100=Fully Left-handed	289	43			False	-100.05	100.05			
ds004186	commercial_use	str	Did the participant consent to commercial use of data?	2	0	Yes, No		True					
ds004186	full_pheno	str	Does the participant have a full phenotypic file?	2	0	Yes, No		True					
ds005752	participant_id	str	OpenNeuro ID of the subject.	1859	0			False			nb:ParticipantID		
ds005752	release_1	int64	Presence of participant data in release 1 of the dataset.	2	0	0, 1		True	0.0	1.0			
ds005752	release_2	int64	Presence of participant data in release 2 of the dataset.	2	0	0, 1		True	0.0	1.0			
ds005752	age	str	Participant's age at first/baseline online screening visit in years. n/a means there was no response from participant though a response was possible. Question may have been skipped over by participant.	70	30		Years	False			nb:Age		
ds005752	sex	str	Biological sex assigned at birth.	2	12	male, female, n/a		True			nb:Sex		
ds005752	handedness	str	Handedness is decided based on Laterality Quotient ranges from the Edinburgh Handedness Inventory.  See Levels below for exact ranges.	3	27	left, ambidextrous, right, n/a		True					
ds005752	eligibility	int64	Eligibility for the study.	2	0	0, 1		True	0.0	1.0			
ds005752	MRI	int64	Presence of Magnetic Resonance Imaging (MRI) data in data set.	2	0	0, 1		True	0.0	1.0			
ds005752	MEG	int64	Presence of Magnetoencephalography (MEG) data in data set.	2	0	0, 1		True	0.0	1.0			
ds005752	ace	int64	Presence of Adverse Childhood Experiences (ACEs) data in data set.	2	0	0, 1		True	0.0	1.0			
ds005752	acute_care	int64	Presence of Acute Care Panel data in data set.	2	0	0, 1		True	0.0	1.0			
ds005752	audit	int64	Presence of Alcohol Use Disorders Identification Test (AUDIT) data in data set.	2	0	0, 1		True	0.0	1.0			
ds005752	bai	int64	Presence of Beck Anxiety Inventory (BAI) data in data set.	2	0	0, 1		True	0.0	1.0			
ds005752	bdi	int64	Presence of Beck Depression Inventory-II (BDI-II) data in dataset.	2	0	0, 1		True	0.0	1.0			
ds005752	big_five_personality	int64	Presence of Big Five Personality Survey data in dataset.	2	0	0, 1		True	0.0	1.0			
ds005752	blood_chemistry	int64	Presence of Blood Chemistry data in dataset.	2	0	0, 1		True	0.0	1.0			
ds005752	btq	int64	Presence of Brief Trauma Questionnaire (BTQ) data in dataset.	2	0	0, 1		True	0.0	1.0			
